Appendix C. Traffic Count Data Sheets




                                   Appendix C - 1
Appendix C - 2
AC Transit East Bay BRT - Traffic Count Sheet Listing

Intersection                                            Page

Intersection Statistics                                             Approach Statistics
Per   Peak Hour   Pk Hr Vol       Peak Intvl   Pk Intv Vol          Per     Peak Hour       Pk Hr Vol     Peak Hour       Pk Hr Vol     Peak Hour        Pk Hr Vol       Peak Hour       Pk Hr Vol
AM     7:45 AM       205           8:30 AM         55               AM       8:00 AM           87                                        7:30 AM            48            7:45 AM           73
MID                                                                 MID
PM     4:00 PM         264        4:45 PM          78               PM       4:15 PM          102                                        4:00 PM              44          4:00 PM           121

Comments                                                            Approach & Departure Volumes (No Peds)
                                                                    Per     Approach         Depart       Approach         Depart       Approach          Depart         Approach         Depart
                                                                    AM        143              62            0               0             76               63             125             219
                                                                    MID        0               0             0               0             0                0               0               0
                                                                    PM        183             118            0               0             86               95             213             269




                                                                                            0900364.TMC                                                                                  Page 1 of 1
                                                                                                                                                                         Appendix C - 113
                                                                                                                                                                     Traffic Research & Analysis, Inc.
                                                                                                                                                                       3844 East Indian School Road
                                                                                                                                                                                   Phoenix, AZ 85018
                                                                                                                                                                                       (602) 840-1500




Intersection TMC:        0900366
Count Date:                 9/16/2009                                         From North                       From East                       From South                       From West                       INTSEC
                                                                              TELEGRAPH AVE    48TH ST                                         TELEGRAPH AVE    48TH ST
                                                                      Time     LT Thru RT Ped LT Thru                          RT Ped           LT Thru RT Ped LT Thru                          RT Ped TOTAL
 AM                          35
                                                                      7:00       0   0    1  0    0    0                         2   0            0   0    0  0    3    0                         0   0    6
                                                                      7:15       2   0    1  0    0    0                         2   0            0   0    2  0    2    0                         0   0    9
07:45             3          0    32
                                                                      7:30       7   0    1  0    2    0                         2   0            0   0    3  0    3    0                         1   0   19
                                                                      7:45       7   0    1  0    4    0                         6   0            0   0   11  0    0    0                         0   0   29
                                                                      8:00      16   0    0  0    9    0                        13   0            1   0   12  0    0    0                         4   0   55
                                                        32
                                                                      8:15       7   0    0  0    3    0                         9   0            1   0    2  0    1    0                         4   0   27
                                                                      8:30       2   0    2  0    5    0                         4   0            2   0    3  0    2    0                         3   0   23
       3                                                0        53
                                                                      8:45       1   0    2  0    4    0                         7   0            0   0    4  0    2    0                         1   0   21
 14    0                                                21

      11
                                                             N
                             4     0     28

                                  32
                                                                      Total     42         0     8         0     27        0    45         0         4      0    37         0    13         0    13         0      189
                                                                      Peak      32         0     3         0     21        0    32         0         4      0    28         0     3         0    11         0      134

                                                                      Time     LT       Thru   RT        Ped   LT       Thru   RT        Ped    LT       Thru   RT        Ped   LT       Thru   RT        Ped TOTAL
                             0
 MID              0          0     0


                                                        0

       0                                                0        0

 0     0                                                0

       0
                                                             N
                             0     0     0

                                   0
                                                                      Total         0      0     0         0        0      0     0         0         0      0     0         0        0      0      0        0        0
                                                                      Peak                                                                                                                                           0

                                                                      Time     LT Thru         RT Ped          LT       Thru   RT Ped           LT       Thru   RT Ped          LT       Thru   RT Ped TOTAL
 PM                          48
                                                                      16:00     12   0           4   0              2      0     6   0               2      0     3   0              1      0     3   0   33
                                                                      16:15      4   0           7   0              4      0     8   0               4      0     4   0              1      0     4   0   36
17:00             21         0    27
                                                                      16:30      3   0           2   0              2      0     3   0               4      0     0   0              1      0     7   0   22
                                                                      16:45      5   0           5   0              3      0     6   0               2      0     2   0              2      0     3   0   28
                                                                      17:00      6   0           6   0              2      0     2   0               4      0     2   0              1      0     3   0   26
                                                        16
                                                                      17:15      3   0           3   0              6      0     6   0               5      0     5   0              0      0     7   0   35
                                                                      17:30      7   0           4   0              2      0     4   0               3      0     5   0              7      0     3   0   35
      11                                                0        31
                                                                      17:45     11   0           8   0              5      0     4   0               4      0     4   0              3      0     5   0   44
 29    0                                                15

      18
                                                             N
                             16    0     16

                                  32
                                                                      Total     51         0    39         0     26        0    39         0     28         0    25         0    16         0    35         0      259
                                                                      Peak      27         0    21         0     15        0    16         0     16         0    16         0    11         0    18         0      140

Intersection Statistics                                               Approach Statistics
Per   Peak Hour   Pk Hr Vol       Peak Intvl   Pk Intv Vol            Per     Peak Hour        Pk Hr Vol       Peak Hour       Pk Hr Vol       Peak Hour        Pk Hr Vol       Peak Hour       Pk Hr Vol
AM     7:45 AM       134           8:00 AM         55                 AM       7:30 AM            39            8:00 AM           54            7:45 AM            32            8:00 AM           17
MID                                                                   MID
PM     5:00 PM         140        5:45 PM          44                 PM       5:00 PM              48          4:00 PM             34          5:00 PM              32          5:00 PM             29

Comments                                                              Approach & Departure Volumes (No Peds)
                                                                      Per     Approach          Depart         Approach         Depart         Approach          Depart         Approach         Depart
                                                                      AM         50               58              72              79              41               40              26              12
                                                                      MID        0                0               0               0               0                0               0               0
                                                                      PM         90               55              65              76              53               61              51              67




                                                                                               0900366.TMC                                                                                      Page 1 of 1
                                                                                                                                                                                Appendix C - 114
                                                                                                                                                               Traffic Research & Analysis, Inc.
                                                                                                                                                                 3844 East Indian School Road
                                                                                                                                                                             Phoenix, AZ 85018
                                                                                                                                                                                 (602) 840-1500




Intersection TMC:           0900367
Count Date:                    9/16/2009                                   From North                      From East                     From South                       From West                       INTSEC
                                                                           TELEGRAPH AVE    NONE                                         TELEGRAPH AVE    47TH ST
                                                                   Time     LT Thru RT Ped LT Thru                         RT Ped         LT Thru RT Ped LT Thru                          RT Ped TOTAL
 AM                         4
                                                                   7:00       0   0    0  0    0 0                           0   0          4   0    0  0    0    0                         4   0    8
                                                                   7:15       0   0    0  0    0 0                           0   0          2   0    0  0    2    0                         8   0   12
08:00             4         0     0
                                                                   7:30       0   0    0  0    0 0                           0   0          4   0    0  0    1    0                        10   0   15
                                                                   7:45       0   0    0  0    0 0                           0   0          3   0    0  0    0    0                         3   0    6
                                                                   8:00       0   0    3  0    0 0                           0   0          2   0    0  0    3    0                         2   0   10
                                                       0
                                                                   8:15       0   0    0  0    0 0                           0   0          6   0    0  0    2    0                         6   0   14
                                                                   8:30       0   0    0  0    0 0                           0   0         12   0    0  0    1    0                         3   0   16
       6                                               0       0
                                                                   8:45       0   0    1  0    0 0                           0   0          8   0    0  0    0    0                         4   0   13
 21    0                                               0

      15
                                                           N
                            28    0     0

                                 28
                                                                   Total        0      0     4         0        0      0     0       0     41         0     0         0        9      0    40         0       94
                                                                   Peak         0      0     4         0        0      0     0       0     28         0     0         0        6      0    15         0       53

                                                                   Time    LT       Thru   RT        Ped   LT       Thru   RT    Ped      LT       Thru   RT        Ped   LT       Thru   RT        Ped TOTAL
                            0
 MID              0         0     0


                                                       0

       0                                               0       0

 0     0                                               0

       0
                                                           N
                            0     0     0

                                  0
                                                                   Total        0      0     0         0        0      0     0       0         0      0     0         0        0      0      0        0        0
                                                                   Peak                                                                                                                                        0

                                                                   Time    LT       Thru   RT Ped          LT       Thru   RT Ped         LT       Thru   RT Ped          LT       Thru   RT Ped TOTAL
 PM                         26
                                                                   16:00        0      0     6   0              0      0     0   0             8      0     0   0              2      0     8   0   24
                                                                   16:15        0      0    10   0              0      0     0   0             7      0     0   0              0      0     3   0   20
16:00             26        0     0
                                                                   16:30        0      0     5   0              0      0     0   0             1      0     0   0              2      0     2   0   10
                                                                   16:45        0      0     5   0              0      0     0   0             7      0     0   0              2      0     6   0   20
                                                                   17:00        0      0     6   0              0      0     0   0             6      0     0   0              1      0     2   0   15
                                                       0
                                                                   17:15        0      0     2   0              0      0     0   0             6      0     0   0              3      0     1   0   12
                                                                   17:30        0      0     3   0              0      0     0   0             3      0     0   0              3      0     6   0   15
       6                                               0       0
                                                                   17:45        0      0     1   0              0      0     0   0             0      0     0   0              1      0     0   0    2
 25    0                                               0

      19
                                                           N
                            23    0     0

                                 23
                                                                   Total        0      0    38         0        0      0     0       0     38         0     0         0    14         0    28         0      118
                                                                   Peak         0      0    26         0        0      0     0       0     23         0     0         0     6         0    19         0       74

Intersection Statistics                                            Approach Statistics
Per   Peak Hour   Pk Hr Vol      Peak Intvl   Pk Intv Vol          Per     Peak Hour       Pk Hr Vol       Peak Hour       Pk Hr Vol     Peak Hour        Pk Hr Vol       Peak Hour       Pk Hr Vol
AM     8:00 AM       53           8:30 AM         16               AM       8:00 AM            4                                          8:00 AM            28            7:15 AM           29
MID                                                                MID
PM     4:00 PM         74        4:00 PM          24               PM       4:00 PM             26                                        4:00 PM              23          4:00 PM             25

Comments                                                           Approach & Departure Volumes (No Peds)
                                                                   Per     Approach         Depart         Approach         Depart       Approach          Depart         Approach         Depart
                                                                   AM         4               9               0               0             41               40              49              45
                                                                   MID        0               0               0               0             0                0               0               0
                                                                   PM         38              14              0               0             38               28              42              76




                                                                                           0900367.TMC                                                                                    Page 1 of 1
                                                                                                                                                                          Appendix C - 115
                                                                                                                                                                  Traffic Research & Analysis, Inc.
                                                                                                                                                                    3844 East Indian School Road
                                                                                                                                                                                Phoenix, AZ 85018
                                                                                                                                                                                    (602) 840-1500




Intersection TMC:         0900368
Count Date:                  9/16/2009                                        From North                     From East                       From South                    From West                       INTSEC
                                                                              TELEGRAPH AVE    46TH ST                                       TELEGRAPH AVE    NONE
                                                                      Time     LT Thru RT Ped LT Thru                        RT Ped           LT Thru RT Ped LT Thru                       RT Ped TOTAL
 AM                       668
                                                                      7:00       0  39    8  0    0    0                       0   0           14  47    3  0    0 0                         0   0   111
                                                                      7:15       0  67    6  0    0    0                       0   0           19  46    2  0    0 0                         0   0   140
08:00             16      604     48
                                                                      7:30       0  75    1  0    0    0                       7   6           20  85    8  0    0 0                         0   1   203
                                                                      7:45       3 116    0  6    0    0                       6  24           34 107   14  0    0 0                         0   0   310
                                                                      8:00       5 124    2  6    0    0                      14  24           31  94    6  0    0 0                         0   0   306
                                                        66
                                                                      8:15      10 155    2  1    0    0                      17  17           47 115   10  0    0 0                         0   1   375
                                                                      8:30      19 158    2  8    0    0                      21  24           51 118   12  0    0 0                         0   0   413
       0                                                0        66
                                                                      8:45      14 167   10  2    0    0                      14  15           30 110   14  0    0 0                         0   1   377
 0     0                                                0

       0
                                                             N
                          159     437    42

                                  638
                                                                      Total     51       901    31     23         0      0    79       110    246      722    69       0        0      0      0        3     2235
                                                                      Peak      48       604    16     17         0      0    66        80    159      437    42       0        0      0      0        2     1471

                                                                      Time     LT       Thru   RT    Ped     LT       Thru   RT        Ped   LT       Thru   RT     Ped    LT       Thru   RT        Ped TOTAL
                              0
 MID               0          0    0


                                                        0

       0                                                0        0

 0     0                                                0

       0
                                                             N
                              0    0     0

                                   0
                                                                      Total         0      0     0       0        0      0     0         0        0      0     0       0        0      0      0        0        0
                                                                      Peak                                                                                                                                      0

                                                                      Time     LT       Thru   RT Ped        LT       Thru   RT Ped          LT Thru         RT Ped        LT       Thru   RT Ped TOTAL
 PM                       465
                                                                      16:00         1     48    22   3            0      0     6  11          59 179           6   0            0      0     0   4   339
                                                                      16:15         4     69    25   3            0      0    13   6          59 177           5   0            0      0     0   2   363
16:45             100     356      9
                                                                      16:30         2     80    21   0            0      0     9   3          43 149           0   0            0      0     0   2   309
                                                                      16:45         4     82    14   0            0      0     6  12          55 157           8   0            0      0     0   9   347
                                                                      17:00         1     72    28   1            0      0    10   5          50 135           6   0            0      0     0   6   314
                                                        33
                                                                      17:15         3    107    22   0            0      0     7  11          45 235           5   0            0      0     0   3   438
                                                                      17:30         1     95    36   5            0      0    10  11          52 170           6   0            0      0     0   3   389
       0                                                0        33
                                                                      17:45         4     38    32   4            0      0     6  11          41 122           3   0            0      0     0   1   262
 0     0                                                0

       0
                                                             N
                          202     697    25

                                  924
                                                                      Total     20       591   200     16         0      0    67        70    404 1324        39       0        0      0      0       30     2761
                                                                      Peak       9       356   100      6         0      0    33        39    202 697         25       0        0      0      0       21     1488

Intersection Statistics                                               Approach Statistics
Per   Peak Hour   Pk Hr Vol       Peak Intvl   Pk Intv Vol            Per     Peak Hour        Pk Hr Vol     Peak Hour       Pk Hr Vol       Peak Hour       Pk Hr Vol     Peak Hour       Pk Hr Vol
AM     8:00 AM      1471           8:30 AM         413                AM       8:00 AM            685         7:45 AM           147           7:45 AM           639         7:30 AM            2
MID                                                                   MID
PM     4:45 PM         1488       5:15 PM         438                 PM       4:45 PM           471          4:45 PM             72          4:45 PM          924          4:45 PM             21

Comments                                                              Approach & Departure Volumes (No Peds)
                                                                      Per     Approach          Depart       Approach         Depart         Approach         Depart       Approach         Depart
                                                                      AM        983              801            79             120             1037            901            0              277
                                                                      MID        0                0             0               0               0               0             0               0
                                                                      PM        811              1391           67              59             1767            591            0              604




                                                                                               0900368.TMC                                                                                 Page 1 of 1
                                                                                                                                                                           Appendix C - 116
                                                                                                                                                            Traffic Research & Analysis, Inc.
                                                                                                                                                              3844 East Indian School Road
                                                                                                                                                                          Phoenix, AZ 85018
                                                                                                                                                                              (602) 840-1500




Intersection TMC:        R900368
Count Date:                10/28/2009                                      From North                    From East                     From South                    From West                     INTSEC
                                                                       TELEGRAPH AVE   46TH ST                                     TELEGRAPH AVE  46TH ST
                                                                   Time LT Thru RT Ped LT Thru                           RT    Ped LT Thru RT Ped LT Thru                            RT     Ped TOTAL
                             0
  AM              0          0    0


                                                       0

       0                                               0       0

 0     0                                               0

       0
                                                           N
                             0    0     0

                                  0
                                                                   Total        0      0      0      0        0      0     0       0        0      0     0       0        0      0      0      0        0
                                                                   Peak                                                                                                                                 0

                                                                   Time    LT       Thru   RT     Ped    LT       Thru   RT    Ped     LT       Thru   RT     Ped    LT       Thru   RT     Ped TOTAL
                             0
 MID              0          0    0


                                                       0

       0                                               0       0

 0     0                                               0

       0
                                                           N
                             0    0     0

                                  0
                                                                   Total        0      0      0      0        0      0     0       0        0      0     0       0        0      0      0      0        0
                                                                   Peak                                                                                                                                 0

                                                                   Time    LT       Thru   RT Ped        LT       Thru   RT Ped        LT       Thru   RT Ped        LT       Thru   RT Ped TOTAL
 PM                      613
                                                                   17:00        0    159    12   0            0      0     0   0            0      0     0   0            0      0     0   0   171
                                                                   17:15        0    133     3   0            0      0     0   0            0      0     0   0            0      0     0   0   136
17:00             19     594      0
                                                                   17:30        0    158     0   0            0      0     0   0            0      0     0   0            0      0     0   0   158
                                                                   17:45        0    144     4   0            0      0     0   0            0      0     0   0            0      0     0   0   148
                                                       0

       0                                               0       0

 0     0                                               0

       0
                                                           N
                             0    0     0

                                  0
                                                                   Total        0    594     19      0        0      0     0       0        0      0     0       0        0      0      0      0      613
                                                                   Peak         0    594     19      0        0      0     0       0        0      0     0       0        0      0      0      0      613

Intersection Statistics                                            Approach Statistics
Per   Peak Hour   Pk Hr Vol      Peak Intvl   Pk Intv Vol          Per     Peak Hour       Pk Hr Vol     Peak Hour       Pk Hr Vol     Peak Hour       Pk Hr Vol     Peak Hour       Pk Hr Vol
AM                                                                 AM
MID                                                                MID
PM     5:00 PM         613       5:00 PM         171               PM       5:00 PM           613

Comments                                                           Approach & Departure Volumes (No Peds)
                                                                   Per     Approach         Depart       Approach         Depart       Approach         Depart       Approach         Depart
                                                                   AM         0               0             0               0             0               0             0               0
                                                                   MID        0               0             0               0             0               0             0               0
                                                                   PM        613              0             0               0             0              594            0               19




                                                                                           R900368.TMC                                                                               Page 1 of 1
                                                                                                                                                                     Appendix C - 117
                                                                                                                                                                  Traffic Research & Analysis, Inc.
                                                                                                                                                                    3844 East Indian School Road
                                                                                                                                                                                Phoenix, AZ 85018
                                                                                                                                                                                    (602) 840-1500




Intersection TMC:       B900368
Count Date:                9/16/2009                                       From North                       From East                       From South                       From West                        INTSEC
                                                                           TELEGRAPH AVE    46TH ST                                         TELEGRAPH AVE    46TH ST
                                                                   Time     LT Thru RT Ped LT Thru                          RT Ped           LT Thru RT Ped LT Thru                          RT Ped TOTAL
 AM                         15
                                                                   7:00       0   3    0  0    0    2                         0   0            0   1    0  0    0    0                         0   0    6
                                                                   7:15       1   1    0  0    0    2                         0   0            0   0    1  0    0    0                         0   0    5
08:00             0         15    0
                                                                   7:30       0   5    0  0    1    0                         1   0            1   3    0  0    0    0                         0   0   11
                                                                   7:45       0   4    0  0    1    0                         0   0            0   9    2  0    0    0                         0   0   16
                                                                   8:00       0   3    0  0    0    0                         0   0            0   8    1  0    0    0                         0   0   12
                                                       1
                                                                   8:15       0   4    0  0    0    0                         1   0            1   2    2  0    0    0                         0   0   10
                                                                   8:30       0   4    0  0    0    0                         0   0            6   8    6  0    0    0                         0   0   24
       0                                               0       1
                                                                   8:45       0   4    0  0    0    0                         0   0            3  12    0  0    0    0                         0   0   19
 0     0                                               0

       0
                                                           N
                            10   30     9

                                 49
                                                                   Total         1     28     0         0        2      4     2         0     11        43    12         0        0      0      0         0      103
                                                                   Peak          0     15     0         0        0      0     1         0     10        30     9         0        0      0      0         0       65

                                                                   Time     LT       Thru   RT        Ped   LT       Thru   RT        Ped    LT       Thru   RT        Ped   LT       Thru   RT         Ped TOTAL
                            0
 MID              0         0     0


                                                       0

       0                                               0       0

 0     0                                               0

       0
                                                           N
                            0     0     0

                                  0
                                                                   Total         0      0     0         0        0      0     0         0         0      0     0         0        0      0      0         0        0
                                                                   Peak                                                                                                                                            0

                                                                   Time     LT       Thru   RT Ped          LT       Thru   RT Ped           LT       Thru   RT Ped          LT       Thru   RT Ped TOTAL
 PM                         25
                                                                   16:00         0      5     0   0              0      0     1   0               3     15     3   0              0      0     0   0   27
                                                                   16:15         0      2     0   0              0      0     0   0               0      4     3   0              0      1     0   0   10
17:00             2         19    4
                                                                   16:30         0      6     1   0              0      1     0   0               0      5     2   0              0      0     0   0   15
                                                                   16:45         0      4     0   0              0      0     0   0               0      9     0   0              0      0     0   0   13
                                                                   17:00         1      7     1   0              0      0     0   0               6      9     5   0              1      0     0   0   30
                                                       0
                                                                   17:15         0      3     0   0              0      0     0   0               6     12     1   0              0      0     0   0   22
                                                                   17:30         0      2     0   0              0      0     0   0               4      9     0   0              0      0     0   0   15
       1                                               0       0
                                                                   17:45         3      7     1   0              0      0     0   0               7     23     0   0              0      0     0   0   41
 1     0                                               0

       0
                                                           N
                            23   53     6

                                 82
                                                                   Total         4     36     3         0        0      1     1         0     26        86    14         0        1      1      0         0      173
                                                                   Peak          4     19     2         0        0      0     0         0     23        53     6         0        1      0      0         0      108

Intersection Statistics                                            Approach Statistics
Per   Peak Hour   Pk Hr Vol      Peak Intvl   Pk Intv Vol          Per     Peak Hour        Pk Hr Vol       Peak Hour       Pk Hr Vol       Peak Hour        Pk Hr Vol       Peak Hour       Pk Hr Vol
